name,slug,plex_slug,id,callSign,tmsid,time_shift,notes,notes2,notes3
Portlandia,portlandia,plex-portlandia,61d735fea7b7c7f703418512,,122435,,,0,8
Power Rangers,power-rangers,plex-power-rangers,644a69895b1d51b6a8d18609,,135575,,,0,1
Property & Reno,property-and-reno,plex-property-and-reno,6427568defc65caa7e9514d4,,134161,,,0,0
PursuitUP,pursuitup,plex-pursuitup,63628eb88e4b18ca22f897dc,,112487,,,0,8
RACER Select,racer-select,plex-racer-select,5f0641d0e8ffda004033aff4,,121708,,,0,2
Racing America,racing-america,plex-racing-america,61a945156547ba4d6d238dc9,,124630,,,0,0
RCN Más,rcn-mas,plex-rcn-mas,6244f2d33ef43121e567cf13,,125383,,,0,1
Real Crime,real-crime-2,plex-real-crime-2,636d9d2d4ea1109a7d205a70,,121656,,,0,1
Real Disaster Channel,real-disaster-channel,plex-real-disaster-channel,64275805efc65caa7e9514d6,,134159,,,0,0
Real Wild,real-wild,plex-real-wild,63584a0cf8e2be1350f802a4,,131075,,,0,1
REELZ Famous & Infamous,reelz-famous-and-infamous,plex-reelz-famous-and-infamous,64f0d3ddc2bc9b9001d46ea4,,121781,,,0,0
Remember the ‘80s,remember-the-80s,plex-remember-the-80s,61aa9f50784a2161d3caf7fb,,113304,,67566,0,0
Rig TV,rig-tv,plex-rig-tv,66a2d97c94b6a49cb5054d77,,157959,,,0,1
Ryan and Friends,ryan-and-friends,plex-ryan-and-friends,5f91c4ea96a391002df9a664,,118462,,,0,1
Saborear TV,saborear-tv,plex-saborear-tv,64f0d9a7c2bc9b9001d46ea6,,144963,,,0,1
Say Yes to the Dress,say-yes-to-the-dress,plex-say-yes-to-the-dress,66a1ae9e77649467da169f0e,,149117,,,0,1
Scream Factory TV,scream-factory-tv,plex-scream-factory-tv,6351991cccee3e1547a8831e,,151829,-8,,0,1
Shemaroo Bollywood,shemaroo-bollywood,plex-shemaroo-bollywood,62d1a58e520656fda09e609d,,132109,,,0,1
Shout! TV,shout-tv,plex-shout-tv,60d4edd6b2fdec002c141127,,111132,,,0,8
Silent Witness|New Tricks,silent-witnessornew-tricks,plex-silent-witnessornew-tricks,656235425dbccec83a87b645,,141825,,,0,1
Smooth Jazz,smooth-jazz,plex-smooth-jazz,62ee784852f7d73061eec493,,45219,,,0,0
So Yummy,soyummy,plex-soyummy,6041643175c115002dc5125d,,115674,,,0,0
Sonic The Hedgehog,sonic-the-hedgehog,plex-sonic-the-hedgehog,6615522e50e81fa51eb0df60,,154621,,,0,1
Soul Storm,soul-storm,plex-soul-storm,61aaa17a784a2161d3caf801,,67563,,,0,0
Spark TV Light & Love,spark-tv,plex-spark-tv,614a11bfa6f839154ee3306d,,161702,,,0,1
SPEEDVISION,speedvision,plex-speedvision,6349ed0eb1adc4cfa571fd37,,132889,,,0,0
SPIN,spin,plex-spin,64e4084bb5fc5e016613edd4,,134855,,,0,1
Sports Illustrated TV,sports-illustrated-tv,plex-sports-illustrated-tv,6216ae22c3bbca2de8704f65,,132647,-5,,0,2
Stadium,stadium,plex-stadium,5f6142d2fc6ce20041ec3c92,,113991,,,0,0
Startalk TV,startalk-tv,plex-startalk-tv,664292a80e0ec7b4ce5eb28c,,152030,,,0,0
Stingray DJAZZ,stingray-djazz,plex-stingray-djazz,62fc0150c67d52bddf74cc89,,114647,,,0,0
Stingray Holidayscapes,stingray-holidayscapes,plex-stingray-holidayscapes,654eb862dde2222e8ba551f1,,149883,,,0,1
Strawberry Shortcake,strawberry-shortcake,plex-strawberry-shortcake,6615522e50e81fa51eb0df62,,154622,,,0,0
Strongman Champions,strongman-champions,plex-strongman-champions,644b13a3a1c0a5b2024c8403,,150219,,,0,1
Supermarket Sweep,supermarket-sweep,plex-supermarket-sweep,64b719768ec13d5dcb7e6bb4,,121598,,,0,1
Surf Cinema,surf-cinema,plex-surf-cinema,656fbbd6dbcce28c3a41741b,,152976,,,0,2
Sweet Escapes,sweet-escapes,plex-sweet-escapes,66a1acc577649467da169f0c,,138027,,169611,0,0
Swerve Combat,swerve-combat,plex-swerve-combat,61f04d2bb01a6e8df3f72902,,122436,,,0,8
TED,ted,plex-ted,62ab5aabbb869dd0df6a3487,,124221,-5,,0,1
Teletubbies,teletubbies,plex-teletubbies,6615522e50e81fa51eb0df61,,154623,,,0,1
Tennis Channel 2,tennis-channel-2,plex-tennis-channel-2,65944d40cbc51b25e5070a18,,137752,,,0,2
TG Junior,tg-junior-2,plex-tg-junior-2,5f170d64b898490041b4938f,,126670,,,0,1
The Asylum,the-asylum,plex-the-asylum,6627ab12580825e8a7bc4f04,,156201,,,0,1
The Biggest Loser,the-biggest-loser,plex-the-biggest-loser,6515ff231fc969615e69d170,,131259,,,0,1
The Boat Show,the-boat-show,plex-the-boat-show,5efe1de6e0b3f5003f5d9f82,,157506,,,0,1
